title,url,best_date_,claims,country_of_owner,primary_country,secondary_countries,robot_country_codes,language_code
There is no known cure for the novel coronavirus and the patient has not yet been officially cleared,https://factcheck.afp.com/there-no-known-cure-novel-coronavirus-and-patient-has-not-yet-been-officially-cleared,2020-03-12,"[""First coronavirus patient in South Africa is cured""]",FR,US,"[""CA"",""IN"",""AU""]","[""za"",""us""]",en
[Fakta atau Hoaks] Benarkah Ini Foto Warga yang Jalan-jalan di Tengah Kebijakan Sekolah Libur Karena Corona?,https://cekfakta.tempo.co/fakta/673/fakta-atau-hoaks-benarkah-ini-foto-warga-yang-jalan-jalan-di-tengah-kebijakan-sekolah-libur-karena-corona,2020-03-16,"[""Foto yang diklaim sebagai foto warga yang jalan-jalan di tengah kebijakan sekolah libur karena semakin merebaknya virus Corona Covid-19""]",ID,ID,[],"[""id""]",id
‘Coronavirus protection’ masks hawked in misleading video ad on Facebook,https://factcheck.afp.com/coronavirus-protection-masks-hawked-misleading-video-ad-facebook,2020-03-03,"[""These masks protect against the novel coronavirus""]",FR,US,"[""CA"",""IN"",""AU""]","[""sg"",""hk"",""us"",""ph""]",en
China no pidió que una corte aprobara matar a 20.000 pacientes de coronavirus,https://www.colombiacheck.com/chequeos/china-no-pidio-que-una-corte-aprobara-matar-20000-pacientes-de-coronavirus?page=31,2020-03-10,"[""China espera aprobación para matar a 20.000 pacientes de coronavirus""]",CO,CO,[],"[""co""]",es
"Όχι, αυτή η φωτογραφία ΔΕΝ δείχνει βαγόνι που φέρει τη σήμανση ""COVID-19""",https://www.ellinikahoaxes.gr/2020/03/16/train-covid-19-fake/,2020-03-16,"[""Υπάρχει βαγόνι τρένου το οποίο φέρει τη σήμανση COVID-19 και το οποίο χρησιμοποιείται για να μεταφέρει την ασθένεια.""]",GR,GR,[],"[""gr""]",el
Morcegos de crisântemo são filmados em telhado na China e a principal fonte do coronavírus #boato,https://www.boatos.org/mundo/morcegos-crisantemo-filmados-telhado-china-principal-fonte-coronavirus.html,2020-02-24,"[""A principal fonte de vírus corona é encontrada. Acontece que muitos telhados em Wuhan, província de Hubei, estão fortemente infestados de morcegos de crisântemo""]",BR,BR,[],"[""br""]",pt
El error que apuntó al pangolín como posible transmisor de coronavirus,https://colombiacheck.com/index.php/chequeos/pangolin-si-podria-ser-transmisor-de-coronavirus-pero-falta-evidencia?page=1,2020-02-22,"[""Nuevo posible animal transmisor del coronavirus: el pangolín""]",CO,CO,[],"[""co""]",es
Coronavirus: Image showing sulphur dioxide forecasts falsely linked with mass cremation in Wuhan,https://www.altnews.in/coronavirus-image-showing-sulphur-dioxide-forecasts-falsely-linked-with-mass-cremation-in-wuhan/,2020-02-25,"[""Satellite images showing high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus""]",IN,IN,[],"[""in"",""cn""]",en
"No, Parents Are Not Getting Free Formula Amidst COVID-19 Panic Buying",https://www.boomlive.in/world/coronavirus/no-parents-are-not-getting-free-formula-amidst-covid-19-panic-buying-7268,2020-03-18,"[""Consumers who cannot find baby formula in stores during the panic buying in the wake of the novel Coronavirus outbreak can claim a free case of the product if they call the relevant manufacturer.""]",IN,IN,[],"[""in""]",en
கொரோனா வைரஸ்: மசூதி சென்று வழிபட்டாரா சீன அதிபர் ஜீ ஜின்பிங்?,https://tamil.factcrescendo.com/factcheck-xi-jinping-visited-mosque-for-coronavirus/,2020-02-12,"[""Claim: Xi Jinping visited mosque for coronavirus""]",IN,IN,"[""LK""]","[""in"",""cn"",""lk""]",ta
Videonun koronavirüse karşı namaz kılan Müslümanlarla saf tutan Çinlileri gösterdiği iddiası,https://teyit.org/videonun-koronaviruse-karsi-namaz-kilan-muslumanlarla-saf-tutan-cinlileri-gosterdigi-iddiasi/,2020-03-12,"[""İDDİA: Video koronavirüse karşı namaz kılan Müslümanların arkasında saf tutan gayrimüslim Çinlileri gösteriyor.""]",TR,TR,[],"[""tr"",""cn"",""id""]",tr
